marca,modelo,nro_de_serie,lugar_de_instalacion,fecha_de_verificacion,tipo
ANCA,NEO,NEO-0048,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido descendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2014-07-14,Fijo
ANCA,NEO,NEO-0048,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido descendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2015-06-30,Fijo
ANCA,NEO,NEO-0048,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido descendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2016-07-19,Fijo
ANCA,NEO,NEO-0048,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido descendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2017-07-19,Fijo
ANCA,NEO,NEO-0048,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido descendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2018-07-19,Fijo
ANCA,NEO,NEO-0048,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido descendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2019-07-12,Fijo
ANCA,NEO,NEO-0049,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido ascendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2014-07-14,Fijo
ANCA,NEO,NEO-0049,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido ascendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2015-06-30,Fijo
ANCA,NEO,NEO-0049,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido ascendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2016-07-19,Fijo
ANCA,NEO,NEO-0049,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido ascendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2017-07-19,Fijo
ANCA,NEO,NEO-0049,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido ascendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2018-07-19,Fijo
ANCA,NEO,NEO-0049,"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido ascendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",2019-08-06,Fijo
ANCA,CVDV,CJR0001,"Ruta Nacional 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación descendente",2005-08-10,Fijo
ANCA,CVDV,CJR0001,"Ruta Nacional 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación descendente",2007-07-05,Fijo
ANCA,CVDV,CJR0001,"Ruta Nacional 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación descendente",2008-03-10,Fijo
ANCA,CVDV,CJR0001,"Ruta Nacional 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación descendente",2008-03-10,Fijo
