tipooperador,empresabandera,razonsocial,cuit,direccion,localidad,provincia,Longitude,Latitude
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,33-70812864-9,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,-58.98882,-27.448803
Combustibles líquidos únicamente,BLANCA,JACQUELIN O Y CARIGNANO J S DE HECHO,30-61137718-1,GENERAL LOPEZ 433,WHEELWRIGHT,SANTA FE,-61.206679,-33.791756
Combustibles líquidos únicamente,YPF,AGROMARE SRL,30-70164808-7,CALLE 29 Y DIAGONAL 61,VERONICA,BUENOS AIRES,-57.33949,-35.3903
Combustibles líquidos únicamente,YPF,AGROMARE SRL,30-70164808-7,RUTA 36 KM 121,VIEYTES,BUENOS AIRES,-57.57332,-35.27978
Combustibles líquidos únicamente,YPF,PAREDES Y CIA. S.C.,33-52834820-9,RIVADAVIA 1104,ESQUEL,CHUBUT,-71.31945,-42.9131
Duales (líquidos + GNC),YPF,CASACOM S.A.,30-70725328-9,AV. VENEZUELA 4693,VILLA LUZURIAGA,BUENOS AIRES,-58.592343,-34.684115
Combustibles líquidos únicamente,YPF,SERVICENTRO LOS VALLES SRL,30-69180080-2,DIEGO DE ROJAS Y TUPAC AMARU S/N,TAFI DEL VALLE,TUCUMAN,-65.70955,-26.85519
Duales (líquidos + GNC),AXION,GUSTAVO JULIAN Y MIGUEL A ZUAIN,30-67279054-5,ruta nacional Nº 22 Km 999,CHOELE CHOEL,RIO NEGRO,-65.67066,-39.27121
Duales (líquidos + GNC),PUMA,GUSTAVO JULIAN Y MIGUEL A ZUAIN,30-67279054-5,REPUBLICA ARGENTINA 345 Nº 345,CHOELE CHOEL,RIO NEGRO,-65.664537,-39.289246
Combustibles líquidos únicamente,BLANCA,JACQUELIN Y CARIGNANO,30-58226292-2,SAN MARTIN 502,WHEELWRIGHT,SANTA FE,-61.21256,-33.79317
Combustibles líquidos únicamente,YPF,SERVICENTRO LOS VALLES SRL,30-69180080-2,RUTA 307 KM 51 (EL MOLLAR),TAFI DEL VALLE,TUCUMAN,-65.675995,-26.936247
Combustibles líquidos únicamente,YPF,LOS PUENTES SRL,30-70861506-0,RUTA 144 KM 01,SAN RAFAEL,MENDOZA,-68.38028,-34.65159
Combustibles líquidos únicamente,YPF,LA VEGA S.A.,30-63130890-9,RUTA 234 KM. 66,SAN MARTIN DE LOS ANDES,NEUQUEN,-71.28796,-40.13641
Duales (líquidos + GNC),PUMA,ENDAPLA S.A.,30-70150362-3,AV SAN MARTIN 910,GDOR. BAIGORRIA,SANTA FE,-60.701866,-32.86234
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ESTACION DE SERVICIO LAURENCENA SRL,30-57466871-5,LAURENCENA 98,PARANA,ENTRE RIOS,-60.51522,-31.7223
Combustibles líquidos únicamente,AXION,CV SRL,30-67035481-0,Ruta 259 3.50,ESQUEL,CHUBUT,-71.28829,-42.90752
Combustibles líquidos únicamente,DAPSA S.A.,LA HORQUETA S.A.,30-70804206-0,España 448,SAN NICOLAS,BUENOS AIRES,-60.21764,-33.33944
Duales (líquidos + GNC),YPF,COMBUSTIBLES NUEVO CUYO S.R.L.,30-69186538-6,COMANDANTE CABOT OESTE 623,SAN JUAN,SAN JUAN,-68.53374,-31.55735
Combustibles líquidos únicamente,YPF,SI SRL,30-69832844-0,AV ALBERDI 1102,ROSARIO,SANTA FE,-60.68541,-32.91504
Duales (líquidos + GNC),YPF,MAIPU RIO S.R.L.,30-66909514-3,SAN MARTIN 998,RIO CUARTO,CORDOBA,-64.35804,-33.12088
Combustibles líquidos únicamente,YPF,RODRIGUEZ FLORENCIO DOMINGO,20-04867090-4,BLANDENGUES 205,SAN MIGUEL DEL MONTE,BUENOS AIRES,-58.80169,-35.43964
Duales (líquidos + GNC),PUMA,RUBO S.A.,30-64429452-4,BENAVIDES ESQUINA TUCUMÁN,CHIMBAS,SAN JUAN,-68.52467,-31.50872
Duales (líquidos + GNC),YPF,J&P S.A.,30-70841729-3,AV. LIBERTADOR GRAL. SAN MARTIN OESTE 1407,SAN JUAN,SAN JUAN,-68.54669,-31.53305
Combustibles líquidos únicamente,YPF,PETROSAN S.A.,30-58417588-1,LIBERTAD 2520,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,-64.282014,-27.801325
Duales (líquidos + GNC),PUMA,PARADOR SIGLO XXI SRL,30-69425875-8,RUTA PCIAL NRO 13  NRO 1324,VILLA DEL ROSARIO,CORDOBA,-63.530203,-31.564589
Duales (líquidos + GNC),YPF,PROINCO SA,30-53885193-7,AV. LA PLATA 901,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.4272,-34.62599
Combustibles líquidos únicamente,YPF,ESTACION DE SERVICIO GRAL LAS HERAS SRL,30-54318885-5,ROCA 518,LAS HERAS,MENDOZA,-68.84037,-32.85188
Combustibles líquidos únicamente,YPF,LUIS ALONSO Y CIA. S.C.C.,30-52575369-3,RUTA 22 - KM. 858,RIO COLORADO,RIO NEGRO,-64.1113,-38.9829
Combustibles líquidos únicamente,YPF,ZARCAM S.A.,30-54709922-9,AV. GALLESIO 786 y Calle Hipólito Yrigoyen (esquina),ZARATE,BUENOS AIRES,-59.02958,-34.10649
Sólo GNC,BLANCA,GAMVER GAS SA,30-64946306-5,AV. GENERAL PAZ 7499,JOSE INGENIEROS,BUENOS AIRES,-58.53166,-34.61817
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,MECANAGRO CHACO S.A.C.I.F.,30-54132847-1,MORENO 400,SAENZ PEÑA,CHACO,-60.44225,-26.7891
Duales (líquidos + GNC),YPF,PETROSAM S R L,30-68393993-1,RUTA 8 KM 649,SAMPACHO,CORDOBA,-64.72264,-33.39122
