Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,Tipo_de_fi,Latitud,Longitud,Conducta_f,unnamed__1,unnamed__2,unnamed__3
Av. Juan B. Alberdi y Centenera,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.622966<br>Longitud: -58.440641<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.622966,-58.440641,Semaforo rojo y senda peatonal,,,
Av. Juan B. Justo y Av. San Martin,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.604297<br>Longitud: -58.458469<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.604297,-58.458469,Semaforo rojo y senda peatonal,,,
Av. Rivadavia  y Acoyte,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.618142<br>Longitud: -58.436298<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.618142,-58.436298,Semaforo rojo y senda peatonal,,,
Bernardo de Irigoyen y Carlos Calvo,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.619889<br>Longitud: -58.380099<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.619889,-58.380099,Semaforo rojo y senda peatonal,,,
Av. Córdoba y Jorge Newbery,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.582759<br>Longitud: -58.448658<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.582759,-58.448658,Semaforo rojo y senda peatonal,,,
Av. Rivadavia y Miralla,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.639438<br>Longitud: -58.511638<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.639438,-58.511638,Semaforo rojo y senda peatonal,,,
Rosario y Av. La Plata,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.618271<br>Longitud: -58.428835<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.618271,-58.428835,Semaforo rojo y senda peatonal,,,
Av. Córdoba y Scalabrini Ortiz,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.594501<br>Longitud: -58.429909<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.594501,-58.429909,Semaforo rojo y senda peatonal,,,
Av. Córdoba y Araoz,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.595015<br>Longitud: -58.42907<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.595015,-58.42907,Semaforo rojo y senda peatonal,,,
Av. Avellaneda y Donato Álvarez,Tipo de fiscalizador: Analítica de video<br>Latitud: -34.621358<br>Longitud: -58.456331<br>Conducta fiscalizada: Semaforo rojo y senda peatonal<br>unnamed (1): <br>unnamed (2): <br>unnamed (3):,,,,,-1,0,-1,**********,,Analítica de video,-34.621358,-58.456331,Semaforo rojo y senda peatonal,,,
