tipo_de_fiscalizador;ubicacion;latitud;longitud
Analitica de video;AV. JUAN B. ALBERDI 890 Y CENTENERA;-34,6230642;-58,4405459
Analitica de video;AV. JUAN B. JUSTO 3969 Y AV. SAN MARTIN;-34,6040577;-58,4583156
Analitica de video;AV. RIVADAVIA 4987 Y ACOYTE;-34,6179844;-58,4361597
Analitica de video;BERNARDO DE IRIGOYEN 1026 Y CARLOS CALVO;-34,6201095;-58,3799732
Analitica de video;AV. CORDOBA 6287 Y JORGE NEWBERY;-34,5827315;-58,448532
Analitica de video;AV. RIVADAVIA 10524 Y MIRALLA;-34,6394678;-58,511763
Analitica de video;ROSARIO 21 Y AV. LA PLATA;-34,61822;-58,429025
Analitica de video;AV. CORDOBA 4570 Y SCALABRINI ORTIZ;-34,59468;-58,4299651
Analitica de video;AV. CORDOBA 4471 Y ARAOZ;-34,5949669;-58,4287148
Analitica de video;AV. AVELLANEDA 1825 Y DONATO �LVAREZ;-34,6211717;-58,4564399
Analitica de video;AV. MOSCONI 3000 Y ARGERICH;-34,5871007;-58,5033248
Analitica de video;AV. PASEO COLON 753 E INDEPENDENCIA;-34,6167221;-58,3695746
Analitica de video;AV. CASEROS 3020 Y LA RIOJA;-34,6372008;-58,405921
Analitica de video;AV. CABILDO 1716 Y J. HERN�NDEZ;-34,5655339;-58,4538156
Analitica de video;AV. GAONA 2300 Y DONATO ALVAREZ;-34,6137044;-58,4594855
Analitica de video;AV. FRANCISCO BEIRO 2875 Y AV. NAZCA;-34,5947753;-58,4941256
Analitica de video;AV. CORRIENTES 3022 Y ECUADOR;-34,6043626;-58,4080931
Analitica de video;LIMA 281 Y MORENO;-34,6116696;-58,3819691
Analitica de video;AV. ROCA 5870 Y SOLDADO DE LA FRONTERA;-34,6896993;-58,4607644
Analitica de video;AV. AVELLANEDA 2924 Y NAZCA;-34,626596;-58,47185
Analitica de video;AV. INDEPENDENCIA 1784 Y AV. ENTRE R�OS;-34,6183201;-58,3913006
Analitica de video;AV. CORRIENTES 2813 Y PUEYRRED�N;-34,604368;-58,405723
Analitica de video;AV. ALVAREZ THOMAS 1294 Y AV. ELCANO;-34,578286;-58,4598168
Analitica de video;AV. SAN JUAN 1119 Y LIMA;-34,6219603;-58,3818964
Analitica de video;AV. SANTA FE 4650 Y BULLRICH;-34,578466;-58,426036
Analitica de video;ALEM, LEANDRO N. AV. 518 Y LAVALLE;-34,6016026;-58,3706653
Analitica de video;LIMA 1524 OESTE Y PAV�N;-34,6261863;-58,3821062
Analitica de video;CORRIENTES AV. 6210 Y DORREGO AV.;-34,5915862;-58,447969
Analitica de video;RAMOS MEJIA, JOSE MARIA, DR. AV. 1304 Y DEL LIBERTADOR AV.;-34,5923398;-58,3751466
Analitica de video;CORRIENTES AV. 5220 Y SCALABRINI ORTIZ, RAUL AV.;-34,59987;-58,4390869
Analitica de video;CABILDO AV. 4718 Y DEHEZA;-34,5413779;-58,4741464
Analitica de video;RIVADAVIA 7420 AV. Y NAZCA AV.;-34,6309456;-58,4700198
Analitica de video;LAS HERAS 2289 Y PUEYRREDON AV.;-34,587597;-58,3968022
Analitica de video;AV. SANTA FE 2622 Y ECUADOR;-34,5941423;-58,4040057
Analitica de video;BELGRANO AV. 3218 Y 24 DE NOVIEMBRE;-34,6154775;-58,411437
Analitica de video;AV. INDEPENDENCIA 2086 Y RINCON;-34,618509;-58,3956791
Analitica de video;RIVADAVIA AV. 2775 Y JUJUY AV.;-34,6098817;-58,4055978
Analitica de video;RABANAL, FRANCISCO, INTENDENTE AV. 1323 Y DEL BARCO CENTENERA;-34,6547635;-58,4172216
Analitica de video;BELGRANO 324 Y BALCARCE;-34,6125804;-58,3708745
Analitica de video;VIRREY V�RTIZ 2010 Y ECHEVERR�A;-34,5590823;-58,4497814
Analitica de video;PASEO COL�N AV. 400 Y BELGRANO AV.;-34,6128447;-58,3688407
Analitica de video;S�ENZ AV. 1230 Y BEAZLEY;-34,6550245;-58,4161493
Analitica de video;VUELTA DE OBLIGADO 2179 Y MENDOZA;-34,5606815;-58,4560335
Analitica de video;OLIVERA AV. 187 Y RAFAELA;-34,6376715;-58,4871991
Analitica de video;ENTRE R�OS AV 1818 Y BRASIL;-34,6295987;-58,3907567
Analitica de video;VEDIA 3438 Y SUPERI;-34,5441959;-58,4860639
Analitica de video;GARAY JUAN DE AV. 1769 Y ENTRE R�OS AV.;-34,6272455;-58,3902949
Analitica de video;DE LA TORRE LISANDRO AV. 663 Y TONELERO;-34,6460407;-58,5205847
Analitica de video;MONTES DE OCA AV. 1685 Y CALIFORNIA;-34,6464535;-58,3733901
Analitica de video;RIVADAVIA AV. 6626 Y GRANADEROS;-34,627858;-58,459097
Analitica de video;RIVADAVIA AV. 9618 Y MANZONI;-34,6376219;-58,4997174
Analitica de video;AV. JUAN B. JUSTO 4781 Y ANDRES LAMAS;-34,6102978;-58,46633
Analitica de video;DEL LIBERTADOR AV. 5722 Y LA PAMPA;-34,5593889;-58,4457398
Analitica de video;VARELA AV. 2779 Y FERNANDEZ DE LA CRUZ AV.;-34,6555379;-58,4385182
Analitica de video;SAN MART�N AV. 1844 Y TRES ARROYOS;-34,6056573;-58,4545631
Analitica de video;MONTEVIDEO 300 ENTRE PER�N Y SARMIENTO;-34,6054907;-58,3894739
Analitica de video;AV. CORDOBA 3907 ENTRE GASC�N Y A. FIGUEROA;-34,5975841;-58,4220008
Analitica de video;AV. CORRIENTES 2676 Y CASTELLI;-34,6049096;-58,4042261
Analitica de video;GORRITI 5300 ENTRE GODOY CRUZ Y URIARTE;-34,5876234;-58,4339226
Analitica de video;AV. CORRIENTES 5694 ENTRE SERRANO Y THAMES;-34,5956916;-58,4435512
Analitica de video;SUPERI 1803 Y LA PAMPA;-34,5703791;-58,464171
Analitica de video;BILLINGHURST 301 ENTRE PER�N Y SARMIENTO;-34,60685;-58,416078
Analitica de video;BONIFACIO 2501 ENTRE CULPINA Y VARELA;-34,632804;-58,462747
Analitica de video;POLA 1205 ENTRE AV. J.B.ALBERDI Y BRAGADO;-34,6499748;-58,5004982
Analitica de video;33 ORIENTALES 903 ENTRE CARLOS CALVO Y EEUU;-34,625019;-58,423261
Analitica de video;CESAR D�AZ 2898 ENTRE AV. NAZCA Y TERRADA;-34,6143711;-58,478771
Analitica de video;CARLOS CALVO 2195 Y PASCO;-34,620659;-58,396973
Analitica de video;LA PAMPA 4704 ENTRE �LVAREZ THOMAS Y COMBATIENTES DE MALVINAS;-34,577348;-58,475799
Analitica de video;CERETTI 2997 Y AV. CONGRESO - TOM�S A. LE BRET�N;-34,573406;-58,496832
Analitica de video;AMENABAR 2209 Y AV. OLAZABAL - AV. MENDOZA;-34,562029;-58,459456
Analitica de video;AU 25 DE MAYO - SENTIDO PROVINCIA - PK 2+700;-34,6318031;-58,4404905
Analitica de video;AU 25 DE MAYO - SENTIDO PROVINCIA - PK 1+260;-34,6371471;-58,4544411
Analitica de video;AU PERITO MORENO - SENTIDO CENTRO KM 3+900;-34,641783;-58,4912964
Analitica de video;AU PERITO MORENO - SENTIDO PROVINCIA - PK 0+700;-34,6367877;-58,5214248
Analitica de video;AU 25 DE MAYO - SENTIDO CENTRO - PK 6+300;-34,6261016;-58,4022056
Analitica de video;CALLAO AV. 858 Y PARAGUAY;-34,598937;-58,393118
Analitica de video;LIMA ESTE Y JUAN DE GARAY AV.;-34,626015;-58,380434
Analitica de video;PUEYRREDON AV. 214 Y PER�N;-34,6074486;-58,4064799
Analitica de video;LIMA 1365 Y CONSTITUCI�N;-34,6242234;-58,381532
Analitica de video;CORDOBA AV. 1980 Y AYACUCHO;-34,6000849;-58,3950441
