lugar_de_instalacion,lat,lon,formatted_address
"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido descendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",,,
"Autopista AP01 Brigadier Estanislao López - km 10,8 (carril sentido ascendente), en jurisdicción de la localidad de Fray Luis Beltrán, provincia de Santa Fe",-31.4407516,-68.5197642,"8, Salvador María del Carril, Barrio Pintor, Villa General San Martín, Albardón, San Juan, 5419, Argentina (approx)"
"Ruta Nacional 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación descendente",-34.9964963,-64.9672817,Argentina (approx)
"Ruta Nacional 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación ascendente",,,
"Ruta Provincial 66, km 92, Landeta, Pcia. de Santa Fe, sentido de circulación Córdoba - Cañada Rosquin",-34.9964963,-64.9672817,Argentina (approx)
"Ruta Provincial 66, km 92, Landeta, Pcia. de Santa Fe, sentido de circulación Cañada Rosquin - Córdoba",,,
"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación San Francisco - Rosario",,,
"Ruta Nacional 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación Rosario - San Francisco.",,,
"Ruta Provincial 13, km 52, Pellegrini, Pcia. de Santa Fe, sentido de circulación San Jorge - Trébol",,,
"Ruta Provincial 13, km 51,1, Pellegrini, Pcia. de Santa Fe, sentido de circulación Trébol - San Jorge",,,
"Ruta Nacional 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación Buenos Aires - Mar del Plata.",,,
"Ruta Nacional 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación Buenos Aires - Mar del Plata",,,
"Ruta Nacional 2, km 113,5, Chascomús, Pcia. de Buenos 
Aires,sentido de circulación Mar del Plata - Buenos Aires",,,
"Ruta Nacional 2, km 114, Chascomús, Pcia. de Buenos Aires, sentido de circulación Buenos Aires - Mar del Plata",,,
"Ruta Provincial Nº 36, km 106, Paraje Starace, Pcia. de Buenos Aires,sentido de circulación Buenos Aires - Vieytes",,,
